asset_id,label,color,length,hem_scale,waist_scale,long_sleeve,slit,intended_test,tool,tool_version,pipeline,source_script,generation_command,generated_at_utc,vertices_pre_modifier,polygons_pre_modifier,glb_relpath,glb_sha256,obj_relpath,obj_sha256,blend_relpath,blend_sha256,license,claim_status
BL_AODAI_001,baseline_teal_long_sleeve,teal,2.3,1.0,1.0,True,1.1,baseline procedural proxy,Blender,5.1.2,procedural Blender Python generation,01_aodai3d_dataset/scripts/render_blender_aodai_assets_v2.py,blender --background --python scripts/generate_named_tool_aodai_assets.py,2026-07-24T13:16:58.168589+00:00,6128,5842,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_001.glb,387c367678a6dfcc868c1b2931641fda5908318775356d04184ea0a1fa75300c,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_001.obj,ebf896983a822e428a7c157dd179487b8bd2afe7f48a4e07ce7e8d92df1bedc9,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_001.blend,b80efb3adc4cf3864854d6f1ead868358c64947b6593ceb6bceaa4ec6e37f39f,study-generated code output; source script retained,procedural proxy; not expert-validated cultural ground truth
BL_AODAI_002,crimson_long_panel,crimson,2.42,1.05,0.95,True,1.15,panel-length and colour variation,Blender,5.1.2,procedural Blender Python generation,01_aodai3d_dataset/scripts/render_blender_aodai_assets_v2.py,blender --background --python scripts/generate_named_tool_aodai_assets.py,2026-07-24T13:16:58.795840+00:00,6128,5842,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_002.glb,601220e3a04fbc0113d34516b82ba97227f00af2904954381260a15960b44b80,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_002.obj,c0f8e030de9b9b635d0518d419e714e5b4de6e1d08b9e4fcaa283d10dd873285,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_002.blend,32c66e2c253c728659f9ab3adb0e5607439fad96011d1d97bc0b6024ef67e092,study-generated code output; source script retained,procedural proxy; not expert-validated cultural ground truth
BL_AODAI_003,indigo_flared_hem,indigo,2.35,1.35,0.92,True,1.0,silhouette perturbation,Blender,5.1.2,procedural Blender Python generation,01_aodai3d_dataset/scripts/render_blender_aodai_assets_v2.py,blender --background --python scripts/generate_named_tool_aodai_assets.py,2026-07-24T13:16:59.386044+00:00,6128,5842,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_003.glb,d2e59a1b5c98e55ce4225afbd859e791a2d081beae6148a0a2404361fce774a6,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_003.obj,8d1c8541b9d5d973c8084d195d4e9ec94890fdf355afd5f3349d40a573d8ebcf,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_003.blend,08fb4837e641d646879bdc7c358caa5ed2132c680e4d3c0eff81889f630cc5ee,study-generated code output; source script retained,procedural proxy; not expert-validated cultural ground truth
BL_AODAI_004,ivory_short_sleeve,ivory,2.22,1.0,1.12,False,1.05,component and sleeve-length perturbation,Blender,5.1.2,procedural Blender Python generation,01_aodai3d_dataset/scripts/render_blender_aodai_assets_v2.py,blender --background --python scripts/generate_named_tool_aodai_assets.py,2026-07-24T13:16:59.963543+00:00,6128,5842,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_004.glb,2cb6225c0f1c12abd76425ca083cdaaeb5ff4ac74909ea5f00f29413230da8f2,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_004.obj,4ede76d4c206a1c899c288415975e0f22612b09fef5c9eef6cfaa1aaeedccbe0,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_004.blend,6e2d0b6ad0f2d5d209b0ccd95162aecc754035ffe4760c10528e69af44657392,study-generated code output; source script retained,procedural proxy; not expert-validated cultural ground truth
BL_AODAI_005,teal_slim_high_slit,teal,2.28,0.78,0.72,True,1.22,proportion and slit-height perturbation,Blender,5.1.2,procedural Blender Python generation,01_aodai3d_dataset/scripts/render_blender_aodai_assets_v2.py,blender --background --python scripts/generate_named_tool_aodai_assets.py,2026-07-24T13:17:00.551407+00:00,6128,5842,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_005.glb,daad3bdb4ba79acfe85a4dafab7f8189a59e91d950896e1d18fb544c6747f0b5,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_005.obj,3fbe63d7f808d6e720bdc35eb83c30f4f61fbade8cb154adecdfb849c5231fff,experiments/exp05_named_tool_aodai_assets/assets/BL_AODAI_005.blend,14ccf19878e227ae9ab86cbc7823775c331bd4620318fc0b560fdbc878138aa5,study-generated code output; source script retained,procedural proxy; not expert-validated cultural ground truth
