page_id,title,query_term,description,object_name,artist,credit,license_short_name,usage_terms,attribution_required,url,thumb_url,mime,width,height,downloaded_file
152514507,File:AO DAI 1.jpg,ao dai,One girl with ao dai,AO DAI 1,Anh Khoa,https://www.flickr.com/photos/zorrotran/20132067685/,CC BY-SA 2.0,Creative Commons Attribution-Share Alike 2.0,true,https://upload.wikimedia.org/wikipedia/commons/d/d7/AO_DAI_1.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d7/AO_DAI_1.jpg/1280px-AO_DAI_1.jpg,image/jpeg,2048,1365,raw/collected_images/wikimedia_commons_aodai/images/0001_AO_DAI_1.jpg.jpg
152514506,File:AO DAI 2.jpg,ao dai,One girl with ao dai,AO DAI 2,Anh Khoa,https://www.flickr.com/photos/zorrotran/20105800846/,CC BY-SA 2.0,Creative Commons Attribution-Share Alike 2.0,true,https://upload.wikimedia.org/wikipedia/commons/6/6b/AO_DAI_2.jpg,https://upload.wikimedia.org/wikipedia/commons/6/6b/AO_DAI_2.jpg,image/jpeg,800,533,raw/collected_images/wikimedia_commons_aodai/images/0002_AO_DAI_2.jpg.jpg
152514633,File:AO DAI 3.jpg,ao dai,One girl with ao dai,AO DAI 3,Anh Khoa,https://www.flickr.com/photos/zorrotran/20105863226/,CC BY-SA 2.0,Creative Commons Attribution-Share Alike 2.0,true,https://upload.wikimedia.org/wikipedia/commons/5/56/AO_DAI_3.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/56/AO_DAI_3.jpg/1280px-AO_DAI_3.jpg,image/jpeg,2048,1365,raw/collected_images/wikimedia_commons_aodai/images/0003_AO_DAI_3.jpg.jpg
152514713,File:AO DAI 4.jpg,ao dai,One girl with ao dai,AO DAI 4,Anh Khoa,https://www.flickr.com/photos/zorrotran/20141557401/,CC BY-SA 2.0,Creative Commons Attribution-Share Alike 2.0,true,https://upload.wikimedia.org/wikipedia/commons/6/68/AO_DAI_4.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/6/68/AO_DAI_4.jpg/1280px-AO_DAI_4.jpg,image/jpeg,1536,2048,raw/collected_images/wikimedia_commons_aodai/images/0004_AO_DAI_4.jpg.jpg
86636126,File:Ao Dai (modern).jpg,ao dai,This photo has been taken in the country: Estonia,Ao Dai (modern),Pauloleong2002,Own work,CC BY-SA 4.0,Creative Commons Attribution-Share Alike 4.0,true,https://upload.wikimedia.org/wikipedia/commons/0/03/Ao_Dai_%28modern%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Ao_Dai_%28modern%29.jpg/1280px-Ao_Dai_%28modern%29.jpg,image/jpeg,3456,4608,raw/collected_images/wikimedia_commons_aodai/images/0006_Ao_Dai_modern_.jpg.jpg
96222761,File:Vietnamese girl wearing ao dai 2.jpg,ao dai,"Chụp ảnh áo dài tại Zeus Studio Địa chỉ: Số 8 Nguyễn Biểu, Ba Đình, Hà Nội Contact: 043.999.11.77 0945188666 0934486400 www.facebook.com/zeusstudio",Vietnamese girl wearing ao dai 2,Zeus Studio Zeus Studio,https://www.flickr.com/photos/zeus-studio/24762888859/,Public domain,Public domain,false,https://upload.wikimedia.org/wikipedia/commons/0/0c/Vietnamese_girl_wearing_ao_dai_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0c/Vietnamese_girl_wearing_ao_dai_2.jpg/1280px-Vietnamese_girl_wearing_ao_dai_2.jpg,image/jpeg,5246,3497,raw/collected_images/wikimedia_commons_aodai/images/0008_Vietnamese_girl_wearing_ao_dai_2.jpg.jpg
125183573,File:Áo dài bé trai thiết kế Nhiên Kids.jpg,ao dai,Ao dai for boys,Áo dài bé trai thiết kế Nhiên Kids,Nhiên Kids,https://nhienkids.com/ao-dai-cach-tan-be-trai/,CC BY-SA 4.0,Creative Commons Attribution-Share Alike 4.0,true,https://upload.wikimedia.org/wikipedia/commons/4/40/%C3%81o_d%C3%A0i_b%C3%A9_trai_thi%E1%BA%BFt_k%E1%BA%BF_Nhi%C3%AAn_Kids.jpg,https://upload.wikimedia.org/wikipedia/commons/4/40/%C3%81o_d%C3%A0i_b%C3%A9_trai_thi%E1%BA%BFt_k%E1%BA%BF_Nhi%C3%AAn_Kids.jpg,image/jpeg,864,864,raw/collected_images/wikimedia_commons_aodai/images/0010_Áo_dài_bé_trai_thiết_kế_Nhiên_Kids.jpg.jpg
