asset_id,label,tool,tool_commit,model_id,pipeline,mc_resolution,texture_resolution,render_resolution,render_engine,source_title,source_creator,source_url,source_license,source_usage_terms,attribution_required,input_relpath,archive_input_relpath,input_sha256,mesh_relpath,archive_mesh_relpath,archive_texture_relpath,mesh_sha256,vertices,faces,generation_command,implementation_note,claim_status
TSR_AODAI_001,modern boys ao-dai documentary input,TripoSR,107cefdc244c39106fa830359024f6a2f1c78871,stabilityai/TripoSR,single-image 3D reconstruction,512,4096,3200x4000,"Blender 5.1.2 Cycles, 128 samples, denoising, OptiX requested",File:Áo dài bé trai thiết kế Nhiên Kids.jpg,Nhiên Kids,https://upload.wikimedia.org/wikipedia/commons/4/40/%C3%81o_d%C3%A0i_b%C3%A9_trai_thi%E1%BA%BFt_k%E1%BA%BF_Nhi%C3%AAn_Kids.jpg,CC BY-SA 4.0,Creative Commons Attribution-Share Alike 4.0,true,experiments/exp06_triposr_reconstruction_ultra/0/input.png,results/exp06/0/input.png,1a24f6d5b8cbd9d259acbc3d7136d3e9def507edf0590c526343f10c043ebb47,experiments/exp06_triposr_reconstruction_ultra/0/mesh.obj,results/exp06/0/mesh.obj,results/exp06/0/texture.png,1838efdbbc770391a5e5d2eb1e3749820bd08fa73e8b1a2f84aa489d56784bca,212091,256524,python run.py <documentary image> <controlled Blender render> --output-dir experiments/exp06_triposr_reconstruction_ultra --model-save-format obj --mc-resolution 512 --foreground-ratio 0.9 --bake-texture --texture-resolution 4096 --chunk-size 2048,Official TripoSR commit with documented scikit-image CPU marching-cubes fallback because torchmcubes could not compile without Windows C++ build tools; texture-query tensors were placed explicitly on the model device for CUDA baking.,actual named-tool reconstruction; output includes the visible person/scene silhouette and is not a garment-only cultural ground truth
TSR_AODAI_002,controlled Blender ao-dai proxy input,TripoSR,107cefdc244c39106fa830359024f6a2f1c78871,stabilityai/TripoSR,single-image 3D reconstruction,512,4096,3200x4000,"Blender 5.1.2 Cycles, 128 samples, denoising, OptiX requested",Study-generated Blender ao-dai proxy hero render,Authors,../01_aodai3d_dataset/manuscript/figures/blender_v2_raw/hero.png,study-generated research output,Reproducibility material; not cultural ground truth,No,experiments/exp06_triposr_reconstruction_ultra/1/input.png,results/exp06/1/input.png,eda27509d6d58162f8d19027777dfb8ae72460bf681030dfbaf06decc97e6d43,experiments/exp06_triposr_reconstruction_ultra/1/mesh.obj,results/exp06/1/mesh.obj,results/exp06/1/texture.png,da122b82f8c9796b3e6c7ec2a4a857c15cd35c6b15636adb0d80279c2f10bfd4,275976,340234,python run.py <documentary image> <controlled Blender render> --output-dir experiments/exp06_triposr_reconstruction_ultra --model-save-format obj --mc-resolution 512 --foreground-ratio 0.9 --bake-texture --texture-resolution 4096 --chunk-size 2048,Official TripoSR commit with documented scikit-image CPU marching-cubes fallback because torchmcubes could not compile without Windows C++ build tools; texture-query tensors were placed explicitly on the model device for CUDA baking.,actual named-tool reconstruction; output includes the visible person/scene silhouette and is not a garment-only cultural ground truth
