asset_id,baseline_id,intervention,programmatic_target_criterion,vertices_delta,vertices_relative_delta,faces_delta,faces_relative_delta,connected_components_delta,connected_components_relative_delta,euler_number_delta,euler_number_relative_delta,extent_x_delta,extent_x_relative_delta,extent_y_delta,extent_y_relative_delta,extent_z_delta,extent_z_relative_delta,min_x_delta,min_x_relative_delta,min_y_delta,min_y_relative_delta,min_z_delta,min_z_relative_delta,max_x_delta,max_x_relative_delta,max_y_delta,max_y_relative_delta,max_z_delta,max_z_relative_delta,surface_area_delta,surface_area_relative_delta,signed_volume_delta,signed_volume_relative_delta,detected_geometry_change
BL_AODAI_002,BL_AODAI_001,longer front/back panels,silhouette,0,0.0,0,0.0,0,0.0,0,0.0,0.025554150342941284,0.026131730153646483,0.0,0.0,0.00011307001113891602,0.00010829546702691323,-0.012803792953491211,-0.02638044095366598,0.0,0.0,-3.343820571899414e-05,-6.251520395390278e-05,0.012750357389450073,0.025886651908270112,0.0,0.0,7.963180541992188e-05,0.00015638397181342784,0.1811992958485451,0.016317134202281425,0.0008128082922580493,0.007244814679501248,True
BL_AODAI_003,BL_AODAI_001,flared hem,silhouette,0,0.0,0,0.0,0,0.0,0,0.0,0.17400279641151428,0.17793564101267703,0.0,0.0,0.08653706312179565,0.0828829109638856,-0.08700066804885864,-0.17925281943633747,0.0,0.0,-0.02178668975830078,-0.04073183128205088,0.08700212836265564,0.17663770068643062,0.0,0.0,0.06475037336349487,0.12715924886530905,0.7921202078271943,0.07133102628753489,0.003535804845645335,0.0315157351291519,True
BL_AODAI_004,BL_AODAI_001,short sleeves,components,0,0.0,0,0.0,0,0.0,0,0.0,-0.017528533935546875,-0.017924717223841154,-0.07341986894607544,-0.023887878752736395,0.0015461444854736328,0.0014808563071576854,0.0024527907371520996,0.005053635391338979,0.07341986894607544,0.1280162701024915,-0.0003364682197570801,-0.0006290522750798239,-0.015075743198394775,-0.03060781000211229,0.0,0.0,0.0012096762657165527,0.0023756083143364657,-0.7386914890909715,-0.06651972958909964,-0.017236353747139457,-0.15363301511287658,True
BL_AODAI_005,BL_AODAI_001,slimmer body and higher side slit,silhouette,0,0.0,0,0.0,0,0.0,0,0.0,-0.027901887893676758,-0.02853253171910917,0.0,0.0,-0.0049893856048583984,-0.004778701609851793,0.005150586366653442,0.010612069409104993,0.0,0.0,0.0023044347763061523,0.0043083116136645085,-0.022751301527023315,-0.046191256064513235,0.0,0.0,-0.002684950828552246,-0.005272808678374005,-0.611687849501994,-0.055082955391678456,-0.0027308747034983927,-0.024341140867079836,True
