method,threshold,precision,recall,f1,specificity,roc_auc,pr_auc,f1_ci_low,f1_ci_high
geometry_only,0.005,1.0,0.5,0.6666666666666666,1.0,0.6875,0.75,0.6666666666666666,0.6666666666666666
visual_only,0.005,1.0,0.5,0.6666666666666666,1.0,0.6875,0.7499999999999999,0.6666666666666666,0.6666666666666666
metadata_only,0.005,1.0,0.16666666666666666,0.2857142857142857,1.0,0.5833333333333334,0.5833333333333333,0.2857142857142857,0.2857142857142857
equal_weight,0.005,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
single_threshold,0.005,1.0,0.7083333333333334,0.8292682926829268,1.0,0.8541666666666667,0.8541666666666667,0.8292682926829268,0.8292682926829268
criterion_max_diagnostic,0.005,1.0,1.0,1.0,1.0,1.0,1.0000000000000002,1.0,1.0
