asset_id,split,kind,severity,is_failure,cue_component,cue_silhouette,cue_topology,cue_material,cue_motif,cue_metadata,geometry_only,visual_only,metadata_only,equal_weight,single_threshold,criterion_max_diagnostic
ZG001,calibration,topology,0.5,1,0.5,0.0,0.7519322080892801,0.0,0.0,0.0,0.7519322080892801,0.0,0.0,0.20865536801488002,1.0,0.7519322080892801
ZG001,calibration,topology,0.75,1,0.5,0.0,0.7519322080892801,0.0,0.0,0.0,0.7519322080892801,0.0,0.0,0.20865536801488002,1.0,0.7519322080892801
ZG001,calibration,material,0.15,1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.024999999999999998,0.0,0.15
ZG001,calibration,material,0.3,1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.049999999999999996,1.0,0.3
ZG001,calibration,material,0.5,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,1.0,0.5
ZG001,calibration,material,0.75,1,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.125,1.0,0.75
ZG001,calibration,motif,0.15,1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.024999999999999998,0.0,0.15
ZG001,calibration,motif,0.3,1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.049999999999999996,1.0,0.3
ZG001,calibration,motif,0.5,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.08333333333333333,1.0,0.5
ZG001,calibration,motif,0.75,1,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.125,1.0,0.75
ZG001,calibration,metadata,0.15,1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.024999999999999998,0.0,0.15
ZG001,calibration,metadata,0.3,1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.049999999999999996,1.0,0.3
ZG001,calibration,metadata,0.5,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.08333333333333333,1.0,0.5
ZG001,calibration,metadata,0.75,1,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.125,1.0,0.75
ZG002,calibration,camera_view,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,background,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,lighting,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,compression,0.0,0,0.0,2.8069974369651195e-07,0.0,0.0,0.0,0.0,2.8069974369651195e-07,2.8069974369651195e-07,0.0,4.678329061608533e-08,0.0,2.8069974369651195e-07
ZG002,calibration,camera_view,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,background,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,lighting,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,compression,0.2,0,0.0,2.8069974369651195e-07,0.0,0.0,0.0,0.0,2.8069974369651195e-07,2.8069974369651195e-07,0.0,4.678329061608533e-08,0.0,2.8069974369651195e-07
ZG002,calibration,camera_view,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,background,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,lighting,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,compression,0.4,0,0.0,1.4949726483480665e-07,0.0,0.0,0.0,0.0,1.4949726483480665e-07,1.4949726483480665e-07,0.0,2.4916210805801108e-08,0.0,1.4949726483480665e-07
ZG002,calibration,camera_view,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,background,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,lighting,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,compression,0.6,0,0.0,1.4949726483480665e-07,0.0,0.0,0.0,0.0,1.4949726483480665e-07,1.4949726483480665e-07,0.0,2.4916210805801108e-08,0.0,1.4949726483480665e-07
ZG002,calibration,camera_view,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,background,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,lighting,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,compression,0.8,0,0.0,2.1978115675246907e-05,0.0,0.0,0.0,0.0,2.1978115675246907e-05,2.1978115675246907e-05,0.0,3.663019279207818e-06,0.0,2.1978115675246907e-05
ZG002,calibration,camera_view,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,background,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,lighting,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG002,calibration,compression,1.0,0,0.0,2.1978115675246907e-05,0.0,0.0,0.0,0.0,2.1978115675246907e-05,2.1978115675246907e-05,0.0,3.663019279207818e-06,0.0,2.1978115675246907e-05
ZG002,calibration,component,0.15,1,0.09056501757231684,0.0,0.17844353316221712,0.0,0.0,0.0,0.17844353316221712,0.0,0.0,0.04483475845575566,0.0,0.17844353316221712
ZG002,calibration,component,0.3,1,0.17646661259799945,0.0,0.34912363479226677,0.0,0.0,0.0,0.34912363479226677,0.0,0.0,0.08759837456504438,1.0,0.34912363479226677
ZG002,calibration,component,0.5,1,0.29021357123546904,0.0,0.5753245425716178,0.0,0.0,0.0,0.5753245425716178,0.0,0.0,0.14425635230118114,1.0,0.5753245425716178
ZG002,calibration,component,0.75,1,0.4338334685050014,0.0,0.8605115168471704,0.0,0.0,0.0,0.8605115168471704,0.0,0.0,0.21572416422536198,1.0,0.8605115168471704
ZG002,calibration,silhouette,0.15,1,0.0,0.12000000000000029,0.0,0.0,0.0,0.0,0.12000000000000029,0.12000000000000029,0.0,0.02000000000000005,0.0,0.12000000000000029
ZG002,calibration,silhouette,0.3,1,0.0,0.24000000000000007,0.0,0.0,0.0,0.0,0.24000000000000007,0.24000000000000007,0.0,0.040000000000000015,0.0,0.24000000000000007
ZG002,calibration,silhouette,0.5,1,0.0,0.4000000000000002,0.0,0.0,0.0,0.0,0.4000000000000002,0.4000000000000002,0.0,0.0666666666666667,1.0,0.4000000000000002
ZG002,calibration,silhouette,0.75,1,0.0,0.6000000000000001,0.0,0.0,0.0,0.0,0.6000000000000001,0.6000000000000001,0.0,0.10000000000000002,1.0,0.6000000000000001
ZG002,calibration,topology,0.15,1,0.1428764530954312,0.0,0.16012867701492084,0.0,0.0,0.0,0.16012867701492084,0.0,0.0,0.050500855018392,0.0,0.16012867701492084
ZG002,calibration,topology,0.3,1,0.3333333333333333,0.0,0.4378350855123252,0.0,0.0,0.0,0.4378350855123252,0.0,0.0,0.12852806980760975,1.0,0.4378350855123252
ZG002,calibration,topology,0.5,1,0.5,0.0,0.755323928475155,0.0,0.0,0.0,0.755323928475155,0.0,0.0,0.20922065474585916,1.0,0.755323928475155
ZG002,calibration,topology,0.75,1,0.5,0.0,0.755323928475155,0.0,0.0,0.0,0.755323928475155,0.0,0.0,0.20922065474585916,1.0,0.755323928475155
ZG002,calibration,material,0.15,1,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.15,0.0,0.024999999999999998,0.0,0.15
ZG002,calibration,material,0.3,1,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.3,0.0,0.049999999999999996,1.0,0.3
ZG002,calibration,material,0.5,1,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.08333333333333333,1.0,0.5
ZG002,calibration,material,0.75,1,0.0,0.0,0.0,0.75,0.0,0.0,0.0,0.75,0.0,0.125,1.0,0.75
ZG002,calibration,motif,0.15,1,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.0,0.024999999999999998,0.0,0.15
ZG002,calibration,motif,0.3,1,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.0,0.049999999999999996,1.0,0.3
ZG002,calibration,motif,0.5,1,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.08333333333333333,1.0,0.5
ZG002,calibration,motif,0.75,1,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.0,0.125,1.0,0.75
ZG002,calibration,metadata,0.15,1,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.15,0.024999999999999998,0.0,0.15
ZG002,calibration,metadata,0.3,1,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.3,0.049999999999999996,1.0,0.3
ZG002,calibration,metadata,0.5,1,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.08333333333333333,1.0,0.5
ZG002,calibration,metadata,0.75,1,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.75,0.125,1.0,0.75
ZG003,calibration,camera_view,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,background,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,lighting,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,compression,0.0,0,0.0,3.423196818945374e-08,0.0,0.0,0.0,0.0,3.423196818945374e-08,3.423196818945374e-08,0.0,5.705328031575624e-09,0.0,3.423196818945374e-08
ZG003,calibration,camera_view,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,background,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,lighting,0.2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,compression,0.2,0,0.0,3.423196818945374e-08,0.0,0.0,0.0,0.0,3.423196818945374e-08,3.423196818945374e-08,0.0,5.705328031575624e-09,0.0,3.423196818945374e-08
ZG003,calibration,camera_view,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,background,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,lighting,0.4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,compression,0.4,0,0.0,1.5769386756503855e-06,0.0,0.0,0.0,0.0,1.5769386756503855e-06,1.5769386756503855e-06,0.0,2.628231126083976e-07,0.0,1.5769386756503855e-06
ZG003,calibration,camera_view,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,background,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,lighting,0.6,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,compression,0.6,0,0.0,1.5769386756503855e-06,0.0,0.0,0.0,0.0,1.5769386756503855e-06,1.5769386756503855e-06,0.0,2.628231126083976e-07,0.0,1.5769386756503855e-06
ZG003,calibration,camera_view,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,background,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,lighting,0.8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,compression,0.8,0,0.0,2.836816361366319e-05,0.0,0.0,0.0,0.0,2.836816361366319e-05,2.836816361366319e-05,0.0,4.728027268943865e-06,0.0,2.836816361366319e-05
ZG003,calibration,camera_view,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,background,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZG003,calibration,lighting,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
