,component,silhouette,topology,material,motif,metadata
component,0,0,32,0,0,0
silhouette,0,32,0,0,0,0
topology,0,0,32,0,0,0
material,0,0,0,32,0,0
motif,0,0,0,0,32,0
metadata,0,0,0,0,0,32
