heldout_kind,threshold_from_other_kinds,precision,recall,f1
component,0.005,1.0,1.0,1.0
silhouette,0.005,1.0,1.0,1.0
topology,0.005,1.0,1.0,1.0
material,0.005,1.0,1.0,1.0
motif,0.005,1.0,1.0,1.0
metadata,0.005,1.0,1.0,1.0
