criterion,tp,fp,fn,tn,precision,recall,f1
garment_components,3966,347,207,7480,0.9195,0.9504,0.9347
silhouette_and_proportion,3997,292,212,7499,0.9319,0.9496,0.9407
sewing_pattern_plausibility,3927,310,209,7554,0.9268,0.9495,0.938
material_and_drape,4042,329,220,7409,0.9247,0.9484,0.9364
motif_and_texture,3991,305,198,7506,0.929,0.9527,0.9407
regional_period_consistency,4040,324,211,7425,0.9258,0.9504,0.9379
wearing_context,4000,313,208,7479,0.9274,0.9506,0.9389
