scenario_id,regime,winner_method,winner_score,winner_margin,profiles_aggregated,weight_severity,noise_scale,hard_threshold
s000036,balanced,expert_reference_upper_bound,86.7418,24.3206,8,0.2035,0.7203,3
s000037,construction_strict,expert_reference_upper_bound,81.7979,18.5166,8,0.4037,1.0427,3
s000038,motif_strict,expert_reference_upper_bound,84.5293,19.3564,8,0.4288,1.0474,1
s000039,heritage_strict,expert_reference_upper_bound,84.5735,20.7213,8,0.2769,1.47,2
s000040,visual_lenient,expert_reference_upper_bound,82.5786,16.4172,8,0.2788,1.4505,3
s000041,balanced,expert_reference_upper_bound,84.0561,21.9098,8,0.1863,1.6005,2
s000042,construction_strict,expert_reference_upper_bound,86.6681,19.963,8,0.4736,1.47,3
s000043,motif_strict,expert_reference_upper_bound,87.6303,27.7715,8,0.3407,0.5991,1
s000044,heritage_strict,expert_reference_upper_bound,87.5281,25.3605,8,0.4855,0.6388,2
s000045,visual_lenient,expert_reference_upper_bound,77.8347,16.591,8,0.118,1.6816,3
s000046,balanced,expert_reference_upper_bound,86.3274,22.669,8,0.2903,0.8736,3
s000047,construction_strict,expert_reference_upper_bound,79.6678,21.1525,8,0.5332,1.4935,2
s000048,motif_strict,expert_reference_upper_bound,84.494,26.6828,8,0.3295,1.5991,3
s000049,heritage_strict,expert_reference_upper_bound,84.441,20.015,8,0.2015,1.5317,3
s000050,visual_lenient,expert_reference_upper_bound,86.0599,21.6948,8,0.1578,1.1591,3
s000051,balanced,expert_reference_upper_bound,86.0748,23.6134,8,0.19,1.3218,1
s000052,construction_strict,expert_reference_upper_bound,82.7058,22.2671,8,0.1145,1.0125,3
s000053,motif_strict,expert_reference_upper_bound,82.6225,17.8558,8,0.2117,0.8206,2
s000054,heritage_strict,expert_reference_upper_bound,84.7669,19.6574,8,0.3118,1.6071,3
s000055,visual_lenient,expert_reference_upper_bound,86.5832,20.5429,8,0.2841,0.9926,1
s000056,balanced,expert_reference_upper_bound,85.965,23.8576,8,0.4071,0.6378,2
s000057,construction_strict,expert_reference_upper_bound,79.241,15.2318,8,0.4387,1.3692,2
s000058,motif_strict,expert_reference_upper_bound,77.7205,18.2394,8,0.5463,1.0756,1
s000059,heritage_strict,expert_reference_upper_bound,86.0321,23.6792,8,0.5426,1.5895,2
s000060,visual_lenient,expert_reference_upper_bound,86.3436,19.5722,8,0.1318,0.779,3
s000061,balanced,expert_reference_upper_bound,86.8495,23.9873,8,0.143,0.7048,3
s000062,construction_strict,expert_reference_upper_bound,82.197,19.3972,8,0.486,1.5471,3
s000063,motif_strict,expert_reference_upper_bound,83.257,15.3282,8,0.4531,1.003,2
s000064,heritage_strict,expert_reference_upper_bound,80.6009,18.4391,8,0.3272,1.7223,3
s000065,visual_lenient,expert_reference_upper_bound,80.696,19.0061,8,0.4909,1.4628,2
s000066,balanced,expert_reference_upper_bound,84.0906,19.6723,8,0.2339,0.7827,2
s000067,construction_strict,expert_reference_upper_bound,82.8817,17.8335,8,0.4911,1.3126,3
s000068,motif_strict,expert_reference_upper_bound,82.3159,11.7086,8,0.1025,1.4046,1
s000069,heritage_strict,expert_reference_upper_bound,82.708,19.0561,8,0.29,1.0337,3
s000070,visual_lenient,expert_reference_upper_bound,80.3358,16.6475,8,0.1165,0.8955,3
s000071,balanced,expert_reference_upper_bound,85.707,20.082,8,0.4042,1.6075,3
s000072,construction_strict,expert_reference_upper_bound,80.3903,18.7305,8,0.1674,0.9514,1
s000073,motif_strict,expert_reference_upper_bound,80.8385,14.4935,8,0.32,1.5368,3
s000074,heritage_strict,expert_reference_upper_bound,85.241,22.6708,8,0.5054,1.729,1
s000075,visual_lenient,expert_reference_upper_bound,80.7032,19.7329,8,0.5068,1.1271,3
s000076,balanced,expert_reference_upper_bound,84.7465,21.8701,8,0.3583,1.1294,2
s000077,construction_strict,expert_reference_upper_bound,80.8552,19.4053,8,0.3029,1.3585,2
s000078,motif_strict,expert_reference_upper_bound,80.9598,18.2823,8,0.5158,1.1625,1
s000079,heritage_strict,expert_reference_upper_bound,83.0697,25.2844,8,0.1609,1.5594,3
s000080,visual_lenient,expert_reference_upper_bound,86.4258,21.4077,8,0.3743,1.0906,3
s000081,balanced,expert_reference_upper_bound,87.4594,23.799,8,0.2376,1.642,1
s000082,construction_strict,expert_reference_upper_bound,82.9731,19.9458,8,0.4485,1.4858,1
s000083,motif_strict,expert_reference_upper_bound,83.1783,19.7688,8,0.1103,1.2601,3
s000084,heritage_strict,expert_reference_upper_bound,83.2435,23.1932,8,0.4223,1.4248,2
s000085,visual_lenient,expert_reference_upper_bound,84.6094,22.1808,8,0.2092,1.3538,1
s000086,balanced,expert_reference_upper_bound,89.3433,25.5974,8,0.1259,0.764,2
s000087,construction_strict,expert_reference_upper_bound,82.15,21.1094,8,0.499,1.4529,2
s000088,motif_strict,expert_reference_upper_bound,80.505,14.9734,8,0.54,0.9502,2
s000089,heritage_strict,expert_reference_upper_bound,84.2125,20.0832,8,0.4117,1.4046,2
s000090,visual_lenient,expert_reference_upper_bound,83.0426,19.4849,8,0.1475,0.9668,2
s000091,balanced,expert_reference_upper_bound,84.0347,19.7948,8,0.2361,0.6268,3
s000092,construction_strict,expert_reference_upper_bound,84.4837,24.7209,8,0.3296,0.6266,1
s000093,motif_strict,expert_reference_upper_bound,77.6865,16.3623,8,0.5485,0.7244,1
s000094,heritage_strict,expert_reference_upper_bound,84.297,20.2698,8,0.2748,1.276,2
s000095,visual_lenient,expert_reference_upper_bound,82.2831,16.3156,8,0.1953,1.1334,2
s000096,balanced,expert_reference_upper_bound,84.9392,24.6017,8,0.2712,0.7479,3
s000097,construction_strict,expert_reference_upper_bound,85.9435,23.6783,8,0.2682,1.6446,1
s000098,motif_strict,expert_reference_upper_bound,81.0155,16.587,8,0.2963,0.6675,2
s000099,heritage_strict,expert_reference_upper_bound,80.998,20.3907,8,0.5007,0.5896,3
s000100,visual_lenient,expert_reference_upper_bound,81.5042,21.1395,8,0.2974,1.5458,3
s000101,balanced,expert_reference_upper_bound,84.8341,17.0122,8,0.2362,1.7167,2
s000102,construction_strict,expert_reference_upper_bound,86.5581,23.6202,8,0.3733,0.9102,3
s000103,motif_strict,expert_reference_upper_bound,87.4357,23.5508,8,0.3628,0.7333,3
s000104,heritage_strict,expert_reference_upper_bound,87.3205,23.916,8,0.5223,1.0992,1
s000105,visual_lenient,expert_reference_upper_bound,88.4212,23.3016,8,0.2966,1.2797,2
s000106,balanced,expert_reference_upper_bound,83.039,17.8933,8,0.253,1.1933,2
s000107,construction_strict,expert_reference_upper_bound,84.2456,20.2784,8,0.2557,1.7442,2
s000108,motif_strict,expert_reference_upper_bound,81.8089,19.7381,8,0.3188,1.103,2
s000109,heritage_strict,expert_reference_upper_bound,86.6671,21.5623,8,0.474,0.7309,1
s000110,visual_lenient,expert_reference_upper_bound,84.8163,18.1734,8,0.3327,0.9743,2
s000111,balanced,expert_reference_upper_bound,85.8409,24.343,8,0.438,0.7277,1
s000112,construction_strict,expert_reference_upper_bound,82.4897,21.1629,8,0.458,1.0602,1
s000113,motif_strict,expert_reference_upper_bound,86.0672,21.0649,8,0.1672,0.6025,2
s000114,heritage_strict,expert_reference_upper_bound,90.2804,26.2192,8,0.5171,0.5562,3
s000115,visual_lenient,expert_reference_upper_bound,83.395,17.1255,8,0.3565,1.4401,2
s000116,balanced,expert_reference_upper_bound,88.2832,24.6628,8,0.1538,0.6285,2
s000117,construction_strict,expert_reference_upper_bound,85.8109,25.7469,8,0.2715,1.1744,1
s000118,motif_strict,expert_reference_upper_bound,84.3987,20.4319,8,0.3019,1.2437,3
s000119,heritage_strict,expert_reference_upper_bound,82.1423,16.4463,8,0.2055,1.2498,1
s000120,visual_lenient,expert_reference_upper_bound,84.8805,19.025,8,0.2273,1.2934,3
s000121,balanced,expert_reference_upper_bound,85.3472,22.7593,8,0.4901,1.0378,3
s000122,construction_strict,expert_reference_upper_bound,82.1466,18.9215,8,0.3273,1.2973,3
s000123,motif_strict,expert_reference_upper_bound,81.2705,17.1302,8,0.1649,1.1878,1
s000124,heritage_strict,expert_reference_upper_bound,82.5574,21.1007,8,0.3523,1.0412,3
s000125,visual_lenient,expert_reference_upper_bound,81.9768,16.2715,8,0.1186,1.5353,2
s000126,balanced,expert_reference_upper_bound,84.8119,23.9351,8,0.249,0.7048,3
s000127,construction_strict,expert_reference_upper_bound,84.5631,22.74,8,0.2193,0.5738,2
s000128,motif_strict,expert_reference_upper_bound,83.3317,20.7969,8,0.3322,1.3455,3
s000129,heritage_strict,expert_reference_upper_bound,87.1238,25.8295,8,0.2154,0.5897,2
s000130,visual_lenient,expert_reference_upper_bound,86.8892,24.9606,8,0.3657,0.5661,2
s000131,balanced,expert_reference_upper_bound,85.9076,22.3507,8,0.2838,1.2364,1
s000132,construction_strict,expert_reference_upper_bound,79.5428,15.7671,8,0.5004,1.2198,2
s000133,motif_strict,expert_reference_upper_bound,84.6353,23.1834,8,0.1884,0.8513,3
s000134,heritage_strict,expert_reference_upper_bound,84.9029,22.7993,8,0.2978,0.7761,1
s000135,visual_lenient,expert_reference_upper_bound,88.6612,20.9919,8,0.1587,1.3937,2
s000136,balanced,expert_reference_upper_bound,83.2327,22.1745,8,0.5125,0.5851,3
s000137,construction_strict,expert_reference_upper_bound,84.9428,20.5446,8,0.2001,1.6106,3
s000138,motif_strict,expert_reference_upper_bound,81.6236,15.95,8,0.3961,1.1029,2
s000139,heritage_strict,expert_reference_upper_bound,83.1761,20.9261,8,0.3339,1.5924,2
s000140,visual_lenient,expert_reference_upper_bound,84.015,17.3921,8,0.4792,1.3963,2
s000141,balanced,expert_reference_upper_bound,81.7243,20.6821,8,0.52,0.5679,2
s000142,construction_strict,expert_reference_upper_bound,85.2614,22.2492,8,0.1278,0.921,3
s000143,motif_strict,expert_reference_upper_bound,82.1859,19.5845,8,0.5012,1.444,2
s000144,heritage_strict,expert_reference_upper_bound,89.1991,27.2808,8,0.1945,0.6373,1
s000145,visual_lenient,expert_reference_upper_bound,81.8565,16.0394,8,0.2155,1.3457,3
s000146,balanced,expert_reference_upper_bound,83.8485,19.8098,8,0.3988,0.846,1
s000147,construction_strict,expert_reference_upper_bound,79.8272,15.3876,8,0.3388,1.4903,2
s000148,motif_strict,expert_reference_upper_bound,85.4019,24.3917,8,0.3386,0.9822,2
s000149,heritage_strict,expert_reference_upper_bound,83.9249,22.7886,8,0.1344,1.341,3
s000150,visual_lenient,expert_reference_upper_bound,88.1494,26.8964,8,0.1828,0.7767,1
s000151,balanced,expert_reference_upper_bound,81.9618,17.339,8,0.3364,1.464,1
s000152,construction_strict,expert_reference_upper_bound,82.6762,18.1426,8,0.2395,1.6418,1
s000153,motif_strict,expert_reference_upper_bound,84.2739,22.4765,8,0.3188,1.635,1
s000154,heritage_strict,expert_reference_upper_bound,82.5135,21.3609,8,0.3261,0.7142,2
s000155,visual_lenient,expert_reference_upper_bound,79.6693,17.5092,8,0.4,1.2701,1
s000156,balanced,expert_reference_upper_bound,83.5666,12.7387,8,0.5115,1.1614,1
s000157,construction_strict,expert_reference_upper_bound,81.8975,18.5742,8,0.3169,1.3127,3
s000158,motif_strict,expert_reference_upper_bound,85.5366,20.1062,8,0.3703,1.2903,1
s000159,heritage_strict,expert_reference_upper_bound,84.7197,20.1193,8,0.439,1.2641,3
s000160,visual_lenient,expert_reference_upper_bound,87.4897,25.8397,8,0.207,0.7221,3
s000161,balanced,expert_reference_upper_bound,87.501,25.6401,8,0.2787,0.8254,1
s000162,construction_strict,expert_reference_upper_bound,86.6936,25.1337,8,0.548,0.6242,1
s000163,motif_strict,expert_reference_upper_bound,82.9976,17.8743,8,0.3813,1.5929,3
s000164,heritage_strict,expert_reference_upper_bound,82.8255,22.5437,8,0.1467,0.7166,1
s000165,visual_lenient,expert_reference_upper_bound,83.6343,21.6973,8,0.3529,0.6655,2
s000166,balanced,expert_reference_upper_bound,84.8555,21.2352,8,0.4437,1.2291,2
s000167,construction_strict,expert_reference_upper_bound,88.5462,25.1398,8,0.5389,1.263,2
s000168,motif_strict,expert_reference_upper_bound,84.5013,22.2954,8,0.4161,0.7443,1
s000169,heritage_strict,expert_reference_upper_bound,79.3789,17.6177,8,0.3397,1.0647,3
s000170,visual_lenient,expert_reference_upper_bound,85.8733,23.8214,8,0.1846,0.6254,1
s000171,balanced,expert_reference_upper_bound,78.3809,19.3383,8,0.109,1.6215,1
s000172,construction_strict,expert_reference_upper_bound,86.1809,26.5504,8,0.4059,0.7245,2
s000173,motif_strict,expert_reference_upper_bound,79.6246,18.6961,8,0.2864,0.7157,2
s000174,heritage_strict,expert_reference_upper_bound,82.0778,17.5882,8,0.4075,1.4695,2
s000175,visual_lenient,expert_reference_upper_bound,87.1218,25.7388,8,0.5379,0.5985,2
s000176,balanced,expert_reference_upper_bound,81.9698,17.3679,8,0.1037,1.7022,3
s000177,construction_strict,expert_reference_upper_bound,83.317,22.6827,8,0.4089,1.1974,1
s000178,motif_strict,expert_reference_upper_bound,82.4152,17.8158,8,0.3496,0.9234,1
s000179,heritage_strict,expert_reference_upper_bound,84.1768,21.9651,8,0.1714,1.5105,2
s000180,visual_lenient,expert_reference_upper_bound,85.2228,18.1746,8,0.1127,1.1319,1
s000181,balanced,expert_reference_upper_bound,84.4284,21.9669,8,0.2259,1.0113,2
s000182,construction_strict,expert_reference_upper_bound,81.2389,15.9782,8,0.4266,0.7827,3
s000183,motif_strict,expert_reference_upper_bound,79.8734,16.6049,8,0.1877,0.6654,2
s000184,heritage_strict,expert_reference_upper_bound,82.8729,20.7151,8,0.1133,1.2001,3
s000185,visual_lenient,expert_reference_upper_bound,80.9502,19.0933,8,0.4014,0.9678,1
s000186,balanced,expert_reference_upper_bound,87.5876,25.9386,8,0.2153,0.9867,1
s000187,construction_strict,expert_reference_upper_bound,87.0509,25.5441,8,0.4261,0.5814,1
s000188,motif_strict,expert_reference_upper_bound,82.2945,21.2701,8,0.3084,1.6777,3
s000189,heritage_strict,expert_reference_upper_bound,86.3001,25.2363,8,0.4614,1.5691,3
s000190,visual_lenient,expert_reference_upper_bound,82.2536,18.6677,8,0.2916,1.3725,3
s000191,balanced,expert_reference_upper_bound,81.1469,19.5924,8,0.5093,0.9593,3
s000192,construction_strict,expert_reference_upper_bound,82.2929,14.8674,8,0.4305,1.5803,2
s000193,motif_strict,expert_reference_upper_bound,84.5387,18.4628,8,0.2171,1.2126,2
s000194,heritage_strict,expert_reference_upper_bound,86.8627,22.9234,8,0.2748,1.2766,1
s000195,visual_lenient,expert_reference_upper_bound,88.2494,26.4987,8,0.5155,0.9719,2
s000196,balanced,expert_reference_upper_bound,80.7156,13.8237,8,0.4082,1.4251,2
s000197,construction_strict,expert_reference_upper_bound,87.7232,26.6046,8,0.4466,0.6183,1
s000198,motif_strict,expert_reference_upper_bound,83.4379,19.8339,8,0.2376,1.2846,3
s000199,heritage_strict,expert_reference_upper_bound,81.8437,15.3464,8,0.4724,1.3457,3
s000200,visual_lenient,expert_reference_upper_bound,86.8282,21.3976,8,0.1539,1.44,3
s000201,balanced,expert_reference_upper_bound,82.725,20.8605,8,0.4003,1.2568,3
s000202,construction_strict,expert_reference_upper_bound,82.3586,8.0209,8,0.2854,1.6926,1
s000203,motif_strict,expert_reference_upper_bound,82.9055,21.8257,8,0.4402,1.3801,1
s000204,heritage_strict,expert_reference_upper_bound,86.694,19.5924,8,0.4216,1.2058,1
s000205,visual_lenient,expert_reference_upper_bound,85.445,19.3565,8,0.1837,1.5689,2
s000206,balanced,expert_reference_upper_bound,84.2455,19.7669,8,0.4906,1.0019,3
s000207,construction_strict,expert_reference_upper_bound,83.3461,20.8951,8,0.2646,0.9884,1
s000208,motif_strict,expert_reference_upper_bound,81.8112,14.5134,8,0.1525,1.5944,1
s000209,heritage_strict,expert_reference_upper_bound,83.1284,21.0707,8,0.1445,0.8222,1
s000210,visual_lenient,expert_reference_upper_bound,82.0263,20.1682,8,0.1355,0.5535,3
s000211,balanced,expert_reference_upper_bound,82.7441,19.2583,8,0.2771,0.7085,2
s000212,construction_strict,expert_reference_upper_bound,83.5568,20.4285,8,0.4671,1.1729,3
s000213,motif_strict,expert_reference_upper_bound,81.5434,18.1715,8,0.2437,0.7674,2
s000214,heritage_strict,expert_reference_upper_bound,85.3923,23.2227,8,0.5365,0.9556,2
s000215,visual_lenient,expert_reference_upper_bound,85.123,23.6824,8,0.1832,1.2207,1
s000216,balanced,expert_reference_upper_bound,77.8528,16.1265,8,0.2183,1.4102,1
s000217,construction_strict,expert_reference_upper_bound,85.4013,23.5804,8,0.1857,0.8218,1
s000218,motif_strict,expert_reference_upper_bound,87.3064,26.218,8,0.1062,0.6038,2
s000219,heritage_strict,expert_reference_upper_bound,82.8703,23.0532,8,0.3571,1.5649,3
s000220,visual_lenient,expert_reference_upper_bound,84.8048,21.076,8,0.1222,1.2245,3
s000221,balanced,expert_reference_upper_bound,85.5311,21.8263,8,0.4851,1.283,2
s000222,construction_strict,expert_reference_upper_bound,82.4182,20.7831,8,0.2705,1.5198,1
s000223,motif_strict,expert_reference_upper_bound,80.8164,22.2813,8,0.1039,1.5862,3
s000224,heritage_strict,expert_reference_upper_bound,83.3551,21.0592,8,0.4217,1.521,1
s000225,visual_lenient,expert_reference_upper_bound,82.4598,20.795,8,0.4159,1.093,2
s000226,balanced,expert_reference_upper_bound,81.5717,15.2591,8,0.4456,1.5045,1
s000227,construction_strict,expert_reference_upper_bound,79.8046,12.5803,8,0.3755,1.5425,3
s000228,motif_strict,expert_reference_upper_bound,76.6142,19.1856,8,0.2026,1.4346,2
s000229,heritage_strict,expert_reference_upper_bound,84.6113,23.9928,8,0.3881,0.6515,1
s000230,visual_lenient,expert_reference_upper_bound,84.8463,15.982,8,0.4324,1.1679,1
s000231,balanced,expert_reference_upper_bound,84.5804,20.0899,8,0.2317,1.6836,3
s000232,construction_strict,expert_reference_upper_bound,84.04,19.6091,8,0.4052,1.2434,1
s000233,motif_strict,expert_reference_upper_bound,86.7687,25.3692,8,0.1452,0.6792,2
s000234,heritage_strict,expert_reference_upper_bound,83.1763,24.7013,8,0.3905,1.3534,2
s000235,visual_lenient,expert_reference_upper_bound,82.4929,19.2841,8,0.4807,1.0624,3
s000236,balanced,expert_reference_upper_bound,84.2624,21.3037,8,0.2242,1.717,2
s000237,construction_strict,expert_reference_upper_bound,82.3996,18.5182,8,0.4622,0.8408,2
s000238,motif_strict,expert_reference_upper_bound,83.7071,20.2382,8,0.1259,0.6486,3
s000239,heritage_strict,expert_reference_upper_bound,85.9801,24.7463,8,0.4513,0.6755,3
s000240,visual_lenient,expert_reference_upper_bound,82.6858,18.4484,8,0.3765,1.0261,1
s000241,balanced,expert_reference_upper_bound,83.8016,22.2985,8,0.1364,0.6578,3
s000242,construction_strict,expert_reference_upper_bound,87.3478,27.9915,8,0.1896,0.8162,1
s000243,motif_strict,expert_reference_upper_bound,79.6869,17.9624,8,0.4758,0.955,1
s000244,heritage_strict,expert_reference_upper_bound,87.0007,26.3557,8,0.4101,1.0053,3
s000245,visual_lenient,expert_reference_upper_bound,86.1413,24.9307,8,0.5413,0.7404,1
s000246,balanced,expert_reference_upper_bound,86.8726,22.7338,8,0.1531,0.8597,1
s000247,construction_strict,expert_reference_upper_bound,85.7618,19.1342,8,0.1633,1.0466,1
s000248,motif_strict,expert_reference_upper_bound,83.7985,17.6529,8,0.3489,1.3527,2
s000249,heritage_strict,expert_reference_upper_bound,81.0093,18.0881,8,0.5359,0.9158,2
s000250,visual_lenient,expert_reference_upper_bound,89.3712,25.0435,8,0.1712,0.983,2
s000251,balanced,expert_reference_upper_bound,80.0707,19.5615,8,0.4665,0.7798,3
s000252,construction_strict,expert_reference_upper_bound,86.7336,23.3924,8,0.5139,1.0763,3
s000253,motif_strict,expert_reference_upper_bound,83.3317,15.4579,8,0.4184,1.2653,1
s000254,heritage_strict,expert_reference_upper_bound,85.6228,17.6385,8,0.4958,1.1997,2
s000255,visual_lenient,expert_reference_upper_bound,77.1713,14.4072,8,0.4048,1.527,1
s000256,balanced,expert_reference_upper_bound,83.4155,22.5992,8,0.1263,0.9674,2
s000257,construction_strict,expert_reference_upper_bound,83.6184,23.3804,8,0.2221,0.7046,3
s000258,motif_strict,expert_reference_upper_bound,84.8551,21.0589,8,0.3154,0.7296,3
s000259,heritage_strict,expert_reference_upper_bound,85.8731,20.5601,8,0.5311,0.9745,3
s000260,visual_lenient,expert_reference_upper_bound,89.7228,25.4288,8,0.3733,0.6211,2
s000261,balanced,expert_reference_upper_bound,85.9047,22.2979,8,0.3336,1.3001,3
s000262,construction_strict,expert_reference_upper_bound,84.7147,23.1006,8,0.5471,0.8493,1
s000263,motif_strict,expert_reference_upper_bound,81.793,23.7883,8,0.1765,1.4289,1
s000264,heritage_strict,expert_reference_upper_bound,84.5928,24.1129,8,0.1937,1.4286,2
s000265,visual_lenient,expert_reference_upper_bound,77.0924,10.4534,8,0.2454,1.5421,2
s000266,balanced,expert_reference_upper_bound,83.4056,17.3013,8,0.2052,1.6191,2
s000267,construction_strict,expert_reference_upper_bound,84.2151,23.4616,8,0.3443,0.9795,1
s000268,motif_strict,expert_reference_upper_bound,81.47,10.2487,8,0.4961,1.5792,1
s000269,heritage_strict,expert_reference_upper_bound,83.3618,24.0126,8,0.4311,1.3518,2
s000270,visual_lenient,expert_reference_upper_bound,84.1261,22.4254,8,0.2262,0.6949,1
s000271,balanced,expert_reference_upper_bound,84.5939,23.085,8,0.1272,1.6062,1
s000272,construction_strict,expert_reference_upper_bound,79.8886,20.0376,8,0.3692,0.6531,3
s000273,motif_strict,expert_reference_upper_bound,82.9296,20.6832,8,0.1941,1.581,2
s000274,heritage_strict,expert_reference_upper_bound,84.738,20.026,8,0.4375,1.3432,2
s000275,visual_lenient,expert_reference_upper_bound,83.8643,19.0054,8,0.1274,1.1007,1
s000276,balanced,expert_reference_upper_bound,81.9125,19.1233,8,0.4011,1.3936,2
s000277,construction_strict,expert_reference_upper_bound,84.272,21.9852,8,0.2976,1.0642,3
s000278,motif_strict,expert_reference_upper_bound,82.5258,21.532,8,0.2127,1.7458,3
s000279,heritage_strict,expert_reference_upper_bound,85.0654,19.4,8,0.4687,1.2271,3
s000280,visual_lenient,expert_reference_upper_bound,85.2549,20.6056,8,0.2846,1.0929,1
s000281,balanced,expert_reference_upper_bound,82.1732,21.1843,8,0.2277,0.978,3
s000282,construction_strict,expert_reference_upper_bound,82.5659,12.6855,8,0.499,1.7134,1
s000283,motif_strict,expert_reference_upper_bound,82.6486,21.3649,8,0.4078,0.7995,3
s000284,heritage_strict,expert_reference_upper_bound,83.6107,21.6509,8,0.5441,0.9097,2
s000285,visual_lenient,expert_reference_upper_bound,85.9824,22.5488,8,0.3015,0.713,1
s000286,balanced,expert_reference_upper_bound,84.6341,26.2097,8,0.4902,0.7473,1
s000287,construction_strict,expert_reference_upper_bound,83.6658,23.4292,8,0.3528,1.2509,1
s000288,motif_strict,expert_reference_upper_bound,84.32,25.1898,8,0.2821,0.715,2
s000289,heritage_strict,expert_reference_upper_bound,83.676,20.2635,8,0.4914,1.7085,1
s000290,visual_lenient,expert_reference_upper_bound,87.958,18.1797,8,0.3439,1.3953,3
s000291,balanced,expert_reference_upper_bound,86.2357,22.2516,8,0.511,1.3667,1
s000292,construction_strict,expert_reference_upper_bound,85.7621,24.9767,8,0.3478,0.7139,2
s000293,motif_strict,expert_reference_upper_bound,85.4793,19.3225,8,0.3735,1.088,1
s000294,heritage_strict,expert_reference_upper_bound,85.2073,24.3973,8,0.3397,0.7941,1
s000295,visual_lenient,expert_reference_upper_bound,82.9616,16.7917,8,0.3904,1.1243,1
s000296,balanced,expert_reference_upper_bound,86.2436,21.8898,8,0.1741,1.2062,3
s000297,construction_strict,expert_reference_upper_bound,80.2168,16.9652,8,0.3781,1.3813,2
s000298,motif_strict,expert_reference_upper_bound,78.9654,14.189,8,0.3433,1.7435,2
s000299,heritage_strict,expert_reference_upper_bound,80.4226,19.9792,8,0.1562,0.8305,3
s000300,visual_lenient,expert_reference_upper_bound,83.6422,22.0603,8,0.4141,0.6525,3
s000301,balanced,expert_reference_upper_bound,87.4542,24.0097,8,0.2209,0.5764,1
s000302,construction_strict,expert_reference_upper_bound,79.5298,14.0645,8,0.2172,1.5772,1
s000303,motif_strict,expert_reference_upper_bound,80.9968,12.9237,8,0.4198,1.567,3
s000304,heritage_strict,expert_reference_upper_bound,79.0612,21.2523,8,0.477,1.4856,1
