scenario_id,regime,winner_method,winner_score,winner_margin,profiles_aggregated,weight_severity,noise_scale,hard_threshold
s000001,balanced,expert_reference_upper_bound,85.4263,19.7802,8,0.4054,1.17,2
s000002,construction_strict,expert_reference_upper_bound,87.2559,23.6842,8,0.2569,1.0372,1
s000003,motif_strict,expert_reference_upper_bound,83.0314,22.7406,8,0.414,1.2314,1
s000004,heritage_strict,expert_reference_upper_bound,82.2664,23.0359,8,0.4299,1.1184,2
s000005,visual_lenient,expert_reference_upper_bound,83.1748,21.8712,8,0.5083,1.1926,3
s000006,balanced,expert_reference_upper_bound,84.2254,23.2279,8,0.1126,1.1667,3
s000007,construction_strict,expert_reference_upper_bound,87.8094,28.5793,8,0.4421,1.032,2
s000008,motif_strict,expert_reference_upper_bound,83.3176,17.7949,8,0.5475,0.804,1
s000009,heritage_strict,expert_reference_upper_bound,89.0383,28.6609,8,0.205,0.7076,2
s000010,visual_lenient,expert_reference_upper_bound,88.2301,25.5593,8,0.5478,0.5824,1
s000011,balanced,expert_reference_upper_bound,87.3909,25.2015,8,0.1713,1.2781,1
s000012,construction_strict,expert_reference_upper_bound,79.3224,20.4394,8,0.1122,0.9142,1
s000013,motif_strict,expert_reference_upper_bound,79.1914,16.6573,8,0.1489,0.5519,3
s000014,heritage_strict,expert_reference_upper_bound,83.0791,19.893,8,0.4429,1.2462,3
s000015,visual_lenient,expert_reference_upper_bound,81.2329,20.9981,8,0.2693,1.7079,3
s000016,balanced,expert_reference_upper_bound,84.2792,19.6535,8,0.3,1.02,2
s000017,construction_strict,expert_reference_upper_bound,83.1605,20.3774,8,0.2414,1.6702,1
s000018,motif_strict,expert_reference_upper_bound,86.7684,23.4252,8,0.186,1.7494,3
s000019,heritage_strict,expert_reference_upper_bound,86.2209,23.1359,8,0.4517,1.494,2
s000020,visual_lenient,expert_reference_upper_bound,83.5908,17.624,8,0.1277,0.9324,1
s000021,balanced,expert_reference_upper_bound,81.6996,14.3775,8,0.3209,0.9411,3
s000022,construction_strict,expert_reference_upper_bound,82.9991,23.873,8,0.2408,1.6926,2
s000023,motif_strict,expert_reference_upper_bound,79.2246,17.31,8,0.3976,0.9462,2
s000024,heritage_strict,expert_reference_upper_bound,81.6212,19.8532,8,0.4627,0.6903,2
s000025,visual_lenient,expert_reference_upper_bound,82.8894,19.742,8,0.1214,1.3289,2
s000026,balanced,expert_reference_upper_bound,79.0691,17.0834,8,0.1967,1.6408,2
s000027,construction_strict,expert_reference_upper_bound,79.6641,20.5873,8,0.5324,1.5838,2
s000028,motif_strict,expert_reference_upper_bound,78.9108,17.8869,8,0.2745,1.2241,2
s000029,heritage_strict,expert_reference_upper_bound,87.0162,23.5938,8,0.3448,1.1172,3
s000030,visual_lenient,expert_reference_upper_bound,85.5428,20.5002,8,0.1319,0.5594,2
s000031,balanced,expert_reference_upper_bound,86.435,21.2879,8,0.5003,1.3054,2
s000032,construction_strict,expert_reference_upper_bound,87.6691,23.2226,8,0.4257,1.5985,1
s000033,motif_strict,expert_reference_upper_bound,82.693,20.7576,8,0.1805,0.9877,3
s000034,heritage_strict,expert_reference_upper_bound,85.9253,30.2851,8,0.5265,0.8627,3
s000035,visual_lenient,expert_reference_upper_bound,82.5337,17.5157,8,0.4646,1.1929,1
