profile,method,n,mean_audit_score,std_audit_score,min_audit_score,max_audit_score,mean_hard_flags
ao_dai_early_20c,expert_reference_upper_bound,6000,84.9731,7.366,55.3371,100.0,1.0133
ao_dai_early_20c,image_to_3d_reconstruction,6000,20.6853,8.9795,0.0,72.5643,5.5097
ao_dai_early_20c,metadata_guided_hybrid,6000,58.4288,9.007,18.8406,93.1986,2.8535
ao_dai_early_20c,panel_metadata_hybrid,6000,59.8175,8.4786,22.4797,91.4318,2.7545
ao_dai_early_20c,pattern_driven_generation,6000,33.1007,10.0095,3.2714,76.3672,4.6058
ao_dai_early_20c,retrieval_reference_guided,6000,63.3084,7.8695,22.9924,90.6533,2.5355
ao_dai_early_20c,text_to_3d_generic,6000,17.19,9.1447,0.0,64.9627,5.7642
ao_dai_early_20c,texture_motif_transfer,6000,32.179,9.9106,1.1372,76.0375,4.7605
ao_dai_modern_school,expert_reference_upper_bound,6000,90.0846,6.7725,56.0065,100.0,0.666
ao_dai_modern_school,image_to_3d_reconstruction,6000,29.4091,10.002,2.6771,72.8904,4.885
ao_dai_modern_school,metadata_guided_hybrid,6000,64.443,8.9169,20.8296,97.2104,2.4422
ao_dai_modern_school,panel_metadata_hybrid,6000,66.2107,8.0241,28.2316,96.1509,2.3132
ao_dai_modern_school,pattern_driven_generation,6000,42.3755,10.1914,3.4355,84.4132,3.9367
ao_dai_modern_school,retrieval_reference_guided,6000,68.3723,8.1248,29.9092,95.9983,2.187
ao_dai_modern_school,text_to_3d_generic,6000,24.8424,10.4277,0.0,72.5173,5.2115
ao_dai_modern_school,texture_motif_transfer,6000,41.5102,10.2359,8.6902,81.6831,4.091
ao_dai_modern_wedding,expert_reference_upper_bound,6000,86.4229,7.1724,52.5802,100.0,0.9123
ao_dai_modern_wedding,image_to_3d_reconstruction,6000,24.3793,9.5531,0.0,69.9327,5.2502
ao_dai_modern_wedding,metadata_guided_hybrid,6000,60.9404,8.9098,22.8676,90.4044,2.6807
ao_dai_modern_wedding,panel_metadata_hybrid,6000,62.5352,8.5671,24.8931,94.3567,2.553
ao_dai_modern_wedding,pattern_driven_generation,6000,37.2722,10.364,6.9009,79.3264,4.3063
ao_dai_modern_wedding,retrieval_reference_guided,6000,65.1862,8.0003,29.3093,94.0118,2.4123
ao_dai_modern_wedding,text_to_3d_generic,6000,20.2188,10.0415,0.0,73.5748,5.5548
ao_dai_modern_wedding,texture_motif_transfer,6000,36.6688,10.1428,2.9505,78.8546,4.4438
ao_ngu_than_ceremonial,expert_reference_upper_bound,6000,81.2193,7.4742,48.9482,100.0,1.2785
ao_ngu_than_ceremonial,image_to_3d_reconstruction,6000,16.9847,8.4668,0.0,56.1476,5.781
ao_ngu_than_ceremonial,metadata_guided_hybrid,6000,54.8106,9.2413,17.0111,92.3002,3.1228
ao_ngu_than_ceremonial,panel_metadata_hybrid,6000,56.2084,8.759,18.3535,93.1604,3.016
ao_ngu_than_ceremonial,pattern_driven_generation,6000,28.417,9.5924,2.6998,68.4468,4.9368
ao_ngu_than_ceremonial,retrieval_reference_guided,6000,60.1315,8.1949,16.5034,90.563,2.7373
ao_ngu_than_ceremonial,text_to_3d_generic,6000,13.7339,8.4189,0.0,61.8213,6.0005
ao_ngu_than_ceremonial,texture_motif_transfer,6000,27.4573,9.5086,0.0,70.1207,5.1108
ao_tu_than_festival,expert_reference_upper_bound,6000,82.8164,7.5457,51.0558,100.0,1.1682
ao_tu_than_festival,image_to_3d_reconstruction,6000,18.63,8.9403,0.0,68.6649,5.6757
