profile,method,n,mean_audit_score,std_audit_score,min_audit_score,max_audit_score,mean_hard_flags
ao_tu_than_festival,metadata_guided_hybrid,6000,56.3002,9.3187,13.3727,89.38,3.0068
ao_tu_than_festival,panel_metadata_hybrid,6000,57.4228,8.5775,20.9773,91.5102,2.9218
ao_tu_than_festival,pattern_driven_generation,6000,30.6754,9.8356,2.9592,73.2795,4.7818
ao_tu_than_festival,retrieval_reference_guided,6000,61.5727,7.9545,28.8376,95.1311,2.652
ao_tu_than_festival,text_to_3d_generic,6000,14.9626,8.6881,0.0,61.6854,5.9045
ao_tu_than_festival,texture_motif_transfer,6000,29.6187,9.7581,0.0,76.2044,4.9473
cham_formal_reference,expert_reference_upper_bound,6000,80.0965,7.3485,52.6579,100.0,1.3432
cham_formal_reference,image_to_3d_reconstruction,6000,14.4104,7.7269,0.0,64.3779,5.9488
cham_formal_reference,metadata_guided_hybrid,6000,52.8708,9.3171,15.8885,87.0774,3.2168
cham_formal_reference,panel_metadata_hybrid,6000,53.0614,8.941,16.667,88.1842,3.198
cham_formal_reference,pattern_driven_generation,6000,26.329,9.3152,2.0682,68.4448,5.078
cham_formal_reference,retrieval_reference_guided,6000,59.2344,7.8974,25.9056,92.5313,2.7988
cham_formal_reference,text_to_3d_generic,6000,11.7349,7.862,0.0,56.8536,6.1255
cham_formal_reference,texture_motif_transfer,6000,25.0367,9.3191,0.0,64.6691,5.251
court_inspired_formal,expert_reference_upper_bound,6000,78.5357,8.7958,40.292,100.0,1.0475
court_inspired_formal,image_to_3d_reconstruction,6000,18.6272,10.0429,0.0,76.8709,4.0298
court_inspired_formal,metadata_guided_hybrid,6000,52.5232,11.0719,11.8757,95.7389,2.3618
court_inspired_formal,panel_metadata_hybrid,6000,56.202,10.2031,18.0281,95.9145,2.1508
court_inspired_formal,pattern_driven_generation,6000,33.2925,11.2327,0.0,78.2044,3.265
court_inspired_formal,retrieval_reference_guided,6000,58.1073,9.6449,16.0327,92.4933,2.0613
court_inspired_formal,text_to_3d_generic,6000,15.1432,10.1717,0.0,64.4553,4.1963
court_inspired_formal,texture_motif_transfer,6000,31.157,11.7476,0.0,77.2909,3.45
dao_red_headwear_reference,expert_reference_upper_bound,6000,77.8968,8.5376,45.8177,100.0,1.0422
dao_red_headwear_reference,image_to_3d_reconstruction,6000,16.0362,9.2956,0.0,63.7213,4.1493
dao_red_headwear_reference,metadata_guided_hybrid,6000,50.277,11.191,11.2914,94.7663,2.4452
dao_red_headwear_reference,panel_metadata_hybrid,6000,53.2233,10.1147,14.0857,92.7194,2.2713
dao_red_headwear_reference,pattern_driven_generation,6000,30.9804,10.9354,0.0,80.2553,3.3558
dao_red_headwear_reference,retrieval_reference_guided,6000,57.2694,9.4418,10.9341,92.6148,2.1068
dao_red_headwear_reference,text_to_3d_generic,6000,12.8782,9.3284,0.0,59.0583,4.3075
dao_red_headwear_reference,texture_motif_transfer,6000,28.0741,11.4989,0.0,77.9839,3.5852
generic_ethnic_minorities_prompt,expert_reference_upper_bound,6000,NA,NA,NA,NA,NA
generic_ethnic_minorities_prompt,image_to_3d_reconstruction,6000,NA,NA,NA,NA,NA
generic_ethnic_minorities_prompt,metadata_guided_hybrid,6000,NA,NA,NA,NA,NA
generic_ethnic_minorities_prompt,panel_metadata_hybrid,6000,NA,NA,NA,NA,NA
generic_ethnic_minorities_prompt,pattern_driven_generation,6000,NA,NA,NA,NA,NA
generic_ethnic_minorities_prompt,retrieval_reference_guided,6000,NA,NA,NA,NA,NA
generic_ethnic_minorities_prompt,text_to_3d_generic,6000,NA,NA,NA,NA,NA
generic_ethnic_minorities_prompt,texture_motif_transfer,6000,NA,NA,NA,NA,NA
hmong_festival_reference,expert_reference_upper_bound,6000,78.4712,7.4397,47.8015,100.0,1.4462
hmong_festival_reference,image_to_3d_reconstruction,6000,12.8373,7.549,0.0,54.1247,6.0708
hmong_festival_reference,metadata_guided_hybrid,6000,50.9142,9.3868,12.3386,85.0503,3.3798
hmong_festival_reference,panel_metadata_hybrid,6000,51.0759,8.8603,19.6648,82.7334,3.3482
hmong_festival_reference,pattern_driven_generation,6000,24.496,9.1311,0.0,65.4384,5.2177
hmong_festival_reference,retrieval_reference_guided,6000,57.823,8.0564,21.3685,85.5881,2.9068
hmong_festival_reference,text_to_3d_generic,6000,10.3546,7.5017,0.0,55.2432,6.234
hmong_festival_reference,texture_motif_transfer,6000,22.8734,9.332,0.0,68.6277,5.4208
khan_dong_aodai_performance,expert_reference_upper_bound,6000,84.3585,7.3893,53.2559,100.0,1.027
khan_dong_aodai_performance,image_to_3d_reconstruction,6000,20.7042,9.0438,0.0,63.0471,5.5193
khan_dong_aodai_performance,metadata_guided_hybrid,6000,58.2416,9.1577,17.7594,93.4979,2.8637
khan_dong_aodai_performance,panel_metadata_hybrid,6000,59.2988,8.742,18.0471,92.4134,2.7852
khan_dong_aodai_performance,pattern_driven_generation,6000,32.9328,9.9957,1.9377,75.5793,4.6077
khan_dong_aodai_performance,retrieval_reference_guided,6000,63.0215,7.8444,29.8994,91.5319,2.5323
khan_dong_aodai_performance,text_to_3d_generic,6000,16.837,9.1167,0.0,60.2717,5.7708
khan_dong_aodai_performance,texture_motif_transfer,6000,32.3722,9.6824,2.5273,72.7359,4.7463
mixed_period_stress_case,expert_reference_upper_bound,6000,NA,NA,NA,NA,NA
mixed_period_stress_case,image_to_3d_reconstruction,6000,NA,NA,NA,NA,NA
mixed_period_stress_case,metadata_guided_hybrid,6000,NA,NA,NA,NA,NA
mixed_period_stress_case,panel_metadata_hybrid,6000,NA,NA,NA,NA,NA
mixed_period_stress_case,pattern_driven_generation,6000,NA,NA,NA,NA,NA
mixed_period_stress_case,retrieval_reference_guided,6000,NA,NA,NA,NA,NA
mixed_period_stress_case,text_to_3d_generic,6000,NA,NA,NA,NA,NA
mixed_period_stress_case,texture_motif_transfer,6000,NA,NA,NA,NA,NA
